ART,43.9919014,-76.021698,325
ARU,-21.1413002,-50.42470169,1361
ARV,45.92789841,-89.73090363,1629
ARW,46.17660141,21.26199913,352
ARY,-37.30939865,142.9889984,1008
ASA,13.07180023,42.64500046,46
ASB,37.986801,58.361,692
ASD,24.69790077,-77.79560089,5
ASE,39.22320175,-106.8690033,7820
ASF,46.28329849,48.00630188,-65
ASH,42.78170013,-71.51480103,199
ASI,-7.9696,-14.3937,278
ASJ,28.43059921,129.7129974,27
ASK,6.903170109,-5.365580082,699
ASM,15.29189968,38.91070175,7661
ASN,33.56990051,-86.05090332,529
ASO,10.01850033,34.5862999,5100
ASP,-23.80669975,133.9019928,1789
ASR,38.770401,35.49539948,3463
ASS,-24.744165,31.522499,1200
AST,46.15800095,-123.8789978,15
ASU,-25.23999977,-57.52000046,292
ASV,-2.645050049,37.25310135,3755
ASW,23.96439934,32.81999969,662
ATA,-9.347439766,-77.5983963,9097
ATB,17.71034431,34.05701828,1181
ATC,24.6294,-75.673797,18
ATD,-8.87333,161.011002,0
ATF,-1.212069988,-78.57460022,8502
ATG,33.86909866,72.40090179,1023
ATH,37.93640137,23.94449997,308
ATI,-30.40069962,-56.50790024,410
ATJ,-19.83922148,47.06371307,4997
ATK,70.46730042,-157.4360046,96
ATL,33.6367,-84.428101,1026
ATM,-3.253910065,-52.25400162,369
ATO,39.21099854,-82.23139954,766
ATQ,31.70960045,74.79730225,756
ATR,20.5067997,-13.04319954,734
ATW,44.2580986,-88.51909637,918
ATY,44.91400146,-97.15470123,1749
ATZ,27.04649925,31.01199913,772
AUA,12.5014,-70.015198,60
AUC,7.06888,-70.7369,420
AUF,47.85020065,3.49710989,523
AUG,44.3205986,-69.79730225,352
AUH,24.43300056,54.65110016,88
AUK,62.68004227,-164.6599274,10
AUO,32.615101,-85.433998,777
AUQ,-9.768790245,-139.0110016,1481
AUR,44.89139938,2.421940088,2096
AUS,30.19449997,-97.66989899,542
AUU,-13.354067,141.72065,31
AUW,44.92620087,-89.62660217,1201
AUX,-7.22787,-48.240501,771
AUY,-20.24920082,169.7709961,7
AVA,26.26055556,105.8733333,4812
AVB,46.031898,12.596503,410
AVI,22.02709961,-78.78959656,335
AVK,46.25030136,102.802002,5932
AVL,35.43619919,-82.54180145,2165
AVN,43.90729904,4.901830196,124
AVO,27.59119987,-81.52780151,160
AVP,41.33850098,-75.7233963,962
AVR,38.883301,-9.0301,11
AVV,-38.039398,144.468994,35
AVW,32.4095993,-111.2180023,2031
AVX,33.4049,-118.416,1602
AWA,7.066999912,38.5,5450
AWD,-19.2346,169.6009,69
AWK,19.28210068,166.6360016,14
AWZ,31.33740044,48.76200104,66
AXA,18.2048,-63.055099,127
AXD,40.85589981,25.95630074,24
AXF,38.74831,105.58858,4560
AXJ,32.482498,130.158997,340
AXK,14.55130005,46.82619858,3735
AXM,4.45278,-75.7664,3990
AXN,45.86629868,-95.3946991,1425
AXP,22.44179916,-73.97090149,11
AXR,-15.2482996,-146.6170044,9
AXT,39.61560059,140.2189941,313
AXU,14.14680004,38.77280045,6959
AYK,50.3185997,66.95279694,1266
AYO,-27.370554,-56.854064,223
AYP,-13.15480042,-74.20439911,8917
AYQ,-25.1861,130.975998,1626
AYS,31.24909973,-82.39550018,142
AYT,36.898701,30.800501,177
AYW,-1.1593,132.4633,1560
AZA,33.30780029,-111.6549988,1382
AZD,31.9048996,54.2765007,4054
AZI,24.42830086,54.45809937,16
AZN,40.72769928,72.29399872,1515
AZO,42.23490143,-85.55210114,874
AZR,27.83760071,-0.186414003,919
AZS,19.2670002,-69.74199677,30
BAB,39.13610077,-121.4369965,113
BAD,32.50180054,-93.66269684,166
BAF,42.157799,-72.715599,271
BAG,16.37509918,120.6200027,4251
BAH,26.27079964,50.63359833,6
BAI,9.163949,-83.330171,1214
BAL,37.92900085,41.11660004,1822
BAQ,10.8896,-74.7808,98
BAR,19.13824,110.454775,30
BAS,-6.990745,155.886656,5
BAT,-20.58449936,-48.59410095,1898
BAU,-22.34499931,-49.05379868,2025
BAV,40.56000137,109.9970016,3321
BAX,53.36380005,83.53849792,837
BAY,47.65840149,23.46999931,605
BAZ,-0.981292,-62.919601,112
BBA,-45.91609955,-71.6894989,1722
BBC,28.97330093,-95.8635025,45
BBD,31.17930031,-99.32389832,1827
BBG,3.08583,172.811005,5
BBH,54.338253,12.710515,23
BBI,20.24440002,85.81780243,138
BBJ,49.945278,6.565,1220
BBK,-17.83289909,25.16239929,3289
BBL,-27.405633,141.809458,385
